budget,a,b,median_a,median_b,p_value,A12_a_vs_b
5000,GSA_ELITE_CONTEXT,FLATTENED_DE,0.1627542804589394,0.0008640896463440361,6.103515625e-05,0.022222222222222223
15000,GSA_ELITE_CONTEXT,FLATTENED_DE,4.2380408357149367e-07,1.3003973830551784e-09,0.22930908203125,0.22666666666666666
30000,GSA_ELITE_CONTEXT,FLATTENED_DE,4.5331560608997385e-12,4.4292610261217573e-29,6.103515625e-05,0.0
5000,GSA_ELITE_CONTEXT,FLATTENED_EA,0.1627542804589394,2.0521902752724922e-05,0.02557373046875,0.2088888888888889
15000,GSA_ELITE_CONTEXT,FLATTENED_EA,4.2380408357149367e-07,3.913059295705899e-07,0.5614013671875,0.6133333333333333
30000,GSA_ELITE_CONTEXT,FLATTENED_EA,4.5331560608997385e-12,3.4453350968982177e-08,6.103515625e-05,1.0
5000,GSA_FULL_ENSEMBLE,FLATTENED_DE,0.6589325446592068,0.0008640896463440361,6.103515625e-05,0.0
15000,GSA_FULL_ENSEMBLE,FLATTENED_DE,0.3205258130299887,1.3003973830551784e-09,6.103515625e-05,0.0
30000,GSA_FULL_ENSEMBLE,FLATTENED_DE,0.12789226210059224,4.4292610261217573e-29,6.103515625e-05,0.0
5000,GSA_DIRECT,FLATTENED_DE,0.31347590710806444,0.0008640896463440361,6.103515625e-05,0.0
15000,GSA_DIRECT,FLATTENED_DE,0.1058817891437808,1.3003973830551784e-09,6.103515625e-05,0.0
30000,GSA_DIRECT,FLATTENED_DE,0.02871027525691685,4.4292610261217573e-29,6.103515625e-05,0.0
