budget,gsa,baseline,median_gsa,median_baseline,p_value,A12_gsa_vs_baseline
5000,GSA_FULL_ENSEMBLE,FLATTENED_DE,13.328494788702672,1.4915006920470102,2.5648002762628313e-11,0.4036111111111111
5000,GSA_FULL_ENSEMBLE,FLATTENED_EA,13.328494788702672,3.024758583964555,1.8890824383102673e-09,0.41555555555555557
5000,GSA_ELITE_CONTEXT,FLATTENED_DE,2.6568357167582777,1.4915006920470102,9.349953985077153e-06,0.4597222222222222
5000,GSA_ELITE_CONTEXT,FLATTENED_EA,2.6568357167582777,3.024758583964555,0.011568846907813103,0.4922222222222222
5000,GSA_DIRECT,FLATTENED_DE,1.7843376869411358,1.4915006920470102,0.0014716709159195921,0.46166666666666667
5000,GSA_DIRECT,FLATTENED_EA,1.7843376869411358,3.024758583964555,0.04935084567382354,0.48305555555555557
100000,GSA_FULL_ENSEMBLE,FLATTENED_DE,1.584893040353367,1.4915,0.008221982972823902,0.4738888888888889
100000,GSA_FULL_ENSEMBLE,FLATTENED_EA,1.584893040353367,1.6356801391126403,0.11181085778953141,0.49194444444444446
100000,GSA_ELITE_CONTEXT,FLATTENED_DE,1.6058982737014857,1.4915,0.04722155084659363,0.49194444444444446
100000,GSA_ELITE_CONTEXT,FLATTENED_EA,1.6058982737014857,1.6356801391126403,0.7543808532942056,0.5208333333333334
100000,GSA_DIRECT,FLATTENED_DE,1.7202965474029714,1.4915,0.6135069295963362,0.4990277777777778
100000,GSA_DIRECT,FLATTENED_EA,1.7202965474029714,1.6356801391126403,0.038928996077685456,0.5275
